['হইলাম', 'নওয়াজ', 'এসেছে', 'বাঁচি', 'সাম', 'ফেলল', 'নিলেও', 'ফ্যামিলি', 'অপমান', 'দাবিতে']
['করিবার', 'প্রতিযোগ', 'পারতে', 'ক্র', 'দক্ষিণের', 'হাফিজ', 'জীবদ্দশায়', 'ওনাকে', 'সবথেকে', 'মৃতদেহের']
['করিবার', 'প্রতিযোগ', 'পারতে', 'ক্র', 'দক্ষিণের', 'হাফিজ', 'জীবদ্দশায়', 'ওনাকে', 'সবথেকে', 'মৃতদেহের']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['বড়ুয়া', 'শুনেও', 'সার্বজনীন', 'م', 'ফাঁকে', 'করুণা', 'চলে', 'চ\u200cলে', 'আই', 'জলাশয়']
['হইল', 'করলেন', 'করিল', 'গিয়েছিলেন', 'করবেন', 'জানেনা', 'রেখেছে', 'বছরের', 'পরেছে', 'সিস্টেমে']
['এসে', 'উপসাগর', 'ক্যালেন্ডার', 'সিরিয়া', 'তৃতীয়া', 'উৎসাহ', 'রহমানের', 'আন্তরিক', 'বাঙালিরা', 'বাসিন্দার']
['', '', '', '', '', '', '', '', '', '']
['করিলেন', 'দেখতেও', 'উপত্যকায়', 'রীত', 'শুনি', 'বাচ্চার', 'হতেও', 'এবং', '\u200b\u200bএবং', 'চাইলে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['লাগিল', 'বুঝ', 'খায়নি', 'বাড়িতেও', 'পেছনে', 'শুনেছে', 'কলেজে', 'ক\u200cলে\u200cজে', 'করিয়া', 'ছড়াচ্ছে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটিতে', 'গাইড', '34', 'পাবো', 'থাকবেনা', 'রিপোর্টের', 'সপ্তাহ', 'নেবেন', 'বোর্ড', 'মৃত্যুদণ্ড']
['পেয়েছেন', 'অয়লার', 'যেগুলো', 'যেগু\u200cলো', 'হুট', 'রোমা', 'শীঘ্র', 'ক্যাসিনো', 'যেগুলোর', 'এইরকম']
['থাকবি', 'হলাম', 'কার্যালয়', 'মন্ত্রণালয়', 'আছিস', 'হয়েছিলেন', 'মঞ্জুর', 'যাচ্ছেন', 'ইনস্টিটিউট', 'হার']
['থাকবি', 'হলাম', 'কার্যালয়', 'মন্ত্রণালয়', 'আছিস', 'হয়েছিলেন', 'মঞ্জুর', 'যাচ্ছেন', 'ইনস্টিটিউট', 'হার']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['নির্বিকার', 'কমেনি', 'অনতি', 'কর্নার', 'জরুরী', 'উদ্দিন', 'নত', 'উচ্ছেদ', 'দমবন্ধ', 'প্রহসন']
['হয়েছিলাম', 'পারিনা', 'করেছেন', 'ক\u200cরে\u200cছেন', 'করেছে', 'ক\u200cরে\u200cছে', 'পেয়েছে', 'হয়রানি', 'আসামী', 'চাইতেও']
['পেয়েছেন', 'অয়লার', 'যেগুলো', 'যেগু\u200cলো', 'হুট', 'রোমা', 'শীঘ্র', 'ক্যাসিনো', 'যেগুলোর', 'এইরকম']
['', '', '', '', '', '', '', '', '', '']
['হলাম', 'হয়েছিলেন', 'চিকিৎসাধীন', 'পারিনা', 'করি', 'ক\u200cরি', 'অফিসের', 'মিনিটেই', 'করেন', 'ক\u200cরেন']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
