['করলেন', 'করেছিলন', 'করেছন', 'করেছ', 'করিতেছে', 'করিয়েছে', 'করিয়েছিল', 'করতল', 'করেছে', 'করিয়েছেন']
['করছিল', 'করছিলেন', 'করছ', 'করছিলে', 'করছিলো', 'করাতো', 'করতেছিল', 'করছিলাম', 'করতাম', 'করতেন']
['করব', 'করে', 'করত', 'করছ', 'করলা', 'করা', 'করিবেন', 'করিয়ে', 'করাত', 'করেণ']
['করো', 'করতে', 'করন', 'করো', 'করছ', 'করেন', 'করছাড়', 'করনে', 'করে', 'করিয়ে']
['করেছন', 'করেছে', 'করেছ', 'করতল', 'করলেন', 'করছ', 'করেছেন', 'করায়', 'করেছি', 'করে']
['করেণ', 'করল', 'করে', 'করছ', 'করলা', 'করাত', 'করছাড়', 'করানো', 'করা', 'করেছন']
['করছ', 'করা', 'করলা', 'করে', 'কররে', 'করি', 'করণ', 'করন', 'করেণ', 'করাত']
['করেতেন', 'করতেন', 'করেত', 'করতো', 'করতাম', 'করত', 'করছ', 'করল', 'করাতো', 'করাতেন']
['করছি', 'করছিস', 'করছো', 'করছে', 'করতেছে', 'করতেছেন', 'করতাছেন', 'করছেই', 'করছেন', 'করতাছে']
['করছিলে', 'করছিলেন', 'করছিলাম', 'করতেছিলেন', 'করছিলো', 'করছিস', 'করছিল', 'করতেছিল', 'করছেনই', 'করছো']
['করব', 'করবে', 'করবেন', 'করাবে', 'করিবেন', 'করবো', 'করাবেন', 'করত', 'করেতেন', 'করলে']
['করো', 'করলো', 'করেন', 'করতে', 'করবেন', 'করছো', 'করবে', 'করতো', 'করতেই', 'করো']
['করেছেন', 'করেছে', 'করেছি', 'করেছিস', 'করেছো', 'করেছিলে', 'করেছিলন', 'করেছিরেন', 'করেছিলেন', 'করেছিল']
['করলাম', 'করলেন', 'করেছিলে', 'করলে', 'করেছিস', 'করেছিলন', 'করল', 'করলো', 'করেছে', 'করেছো']
['করি', 'করছ', 'করেত', 'করলেন', 'করেন', 'করে', 'করল', 'করলে', 'করায়', 'করলি']
['করতাম', 'করতেন', 'করেতেন', 'করতো', 'করেত', 'করেছিলো', 'করেছিলে', 'করতেছিলেন', 'করতেছেন', 'করেছিলেন']
['করছি', 'করছো', 'করছিস', 'করছে', 'করতেছে', 'করছেই', 'করতাছে', 'করতাছেন', 'করতেছেন', 'করছেন']
['করেছিলে', 'করেছিস', 'করেছিলন', 'করেছিলাম', 'করেছিলেন', 'করেছিলো', 'করেছো', 'করেছিরেন', 'করেছেনই', 'করেছিল']
['করব', 'করবে', 'করবেন', 'করাবে', 'করিবেন', 'করবো', 'করত', 'করাবেন', 'করলে', 'করেত']
['করো', 'করলো', 'করতে', 'করেন', 'করতেই', 'করো', 'করছো', 'করতো', 'করবে', 'করনে']
