['এমই', 'এলই', 'ইএমই', 'হলই', 'হইল', 'ইএম', 'এইমস', 'ইএল', 'ইলম', 'হইব']
['করবই', 'এবার', 'বরই', 'কবর', 'এবির', 'এরকম', 'এবছর', 'এরই', 'করব', 'করবি']
['করবই', 'এবার', 'বরই', 'কবর', 'এবির', 'এরকম', 'এবছর', 'এরই', 'করব', 'করবি']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হইলে', 'এইযে', 'হইবে', 'এলেই', 'হেই', 'এলে', 'এনেই', 'এইচে', 'লেই', 'এবে']
['হই', 'এই', 'হইল', 'হইব', 'ইহ', 'হলই', 'এলই', 'হবই', 'এসই', 'এমই']
['এবে', 'হেই', 'এরে', 'একে', 'এসে', 'এনে', 'এমে', 'এতে', 'এলে', 'সেই']
['', '', '', '', '', '', '', '', '', '']
['এরে', 'এলে', 'একরে', 'এমরে', 'এনে', 'এবে', 'এলেন', 'এসেই', 'এনের', 'এলবে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এলই', 'এলম', 'ইগল', 'এলগল', 'এলা', 'ইএল', 'এলি', 'এলং', 'লগি', 'এলবে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এতে', 'এসেছে', 'ছুতে', 'একে', 'সেচে', 'এগুতে', 'বুথে', 'মুছে', 'বেচে', 'তুরে']
['আসিয়া', 'আসায়', 'সিয়াম', 'সিয়ান', 'সিটু', 'পয়সা', 'মিয়া', 'আরিয়া', 'পিয়াস', 'সওয়া']
['করিবার', 'রিবার', 'করবার', 'কারবি', 'রাবির', 'কবিরা', 'কারিব', 'কাবির', 'বারিক', 'বাকরির']
['করিবার', 'রিবার', 'করবার', 'কারবি', 'রাবির', 'কবিরা', 'কারিব', 'কাবির', 'বারিক', 'বাকরির']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হলেন', 'লেহন', 'হলের', 'হলো', 'বলেন', 'হলেও', 'মহলে', 'হরেন', 'হইলেন', 'আনহেল']
['হইল', 'হলই', 'হলা', 'মহল', 'হাল', 'হলি', 'হলঃ', 'হিল', 'হল', 'আহল']
['হয়া', 'হায়', 'হায়া', 'হাটু', 'হইয়া', 'হওয়া', 'হটাৎ', 'হাটে', 'সহায়', 'নাহয়']
['', '', '', '', '', '', '', '', '', '']
['করিলো', 'করিলেন', 'করিলে', 'নিলুর', 'করলেন', 'মনিরুল', 'কলিনের', 'নিকলী', 'কিনলে', 'রনিলের']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['লাগিল', 'লিগাল', 'লাগি', 'গালি', 'লিগা', 'লাগল', 'গিলা', 'রিগাল', 'গালির', 'গলির']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটিতে', 'রুটিতে', 'গুটিতে', 'জুটিতে', 'টুপিতে', 'ছুটতে', 'দুটিতে', 'হুরিয়ত', 'ছুরিতে', 'ছুটি']
['আসায়', 'আসিয়া', 'আকসায়', 'সওয়া', 'বসায়', 'পয়সা', 'সয়ার', 'রসায়ন', 'সবায়', 'পসরায়']
['হইলাম', 'ইলহাম', 'ইলাহ', 'হলাম', 'ইলাম', 'হাইল', 'রইলাম', 'কইলাম', 'লাইম', 'হাইম']
['করবার', 'বরাকর', 'কারবার', 'কারবি', 'কবার', 'করিবার', 'বরবার', 'করাব', 'করাবার', 'করবা']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হইলেন', 'হলেন', 'হলেই', 'ইলেন', 'হইলে', 'রইলেন', 'হইবেন', 'হইলেও', 'লেহন', 'নইলে']
['হইল', 'হলই', 'হইব', 'হবই', 'হকই', 'হইত', 'বলই', 'রইল', 'সইল', 'ইহা']
['হইয়া', 'হাটে', 'কইয়া', 'ইয়াহ', 'যায়ই', 'ইয়া', 'হয়া', 'হয়ই', 'রায়ই', 'লইয়া']
['', '', '', '', '', '', '', '', '', '']
['করলেন', 'করনেল', 'কলনের', 'নকলের', 'করালেন', 'পরলেন', 'করিলেন', 'করলেনই', 'করলেনও', 'করবেল']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['লাগল', 'গলার', 'লাগাল', 'লগার', 'লাগিল', 'লাগি', 'গলাম', 'গালি', 'মাগল', 'লগান']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটতে', 'ছুটিতে', 'লুটতে', 'জুটতে', 'ফুটতে', 'গুটিতে', 'রুটিতে', 'ছুটবে', 'জুটিতে', 'ছুরিতে']
['আসায়', 'সয়া', 'আসিয়া', 'আয়া', 'সায়', 'সওয়া', 'সয়ার', 'আয়ার', 'আনায়', 'ওয়াস']
['ইলাম', 'হাইল', 'ইলাহ', 'লাইম', 'ইলার', 'মাইল', 'হাইম', 'কলাই', 'হইলাম', 'কালই']
['করার', 'রকার', 'কররা', 'কারক', 'কারল', 'করাব', 'কারা', 'করাল', 'করান', 'মরার']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ইলেন', 'হইলে', 'হলেই', 'হলেন', 'হইলেন', 'নইলে', 'লেন', 'ইলের', 'হলো', 'লেইন']
['হইল', 'হলই', 'রইল', 'হাই', 'ইহা', 'ইলা', 'কইল', 'হাল', 'হকই', 'সইল']
