['তিনি', 'তাঁরা', 'করেন', 'তাঁর', 'করেছেন', 'এ', 'বলেন', 'নিয়ে', 'তাঁদের', 'ছিলেন']
['', '', '', '', '', '', '', '', '', '']
['তাঁরা', 'তাঁদের', 'যাঁরা', 'জানান', 'করছেন', 'সবাই', 'অনেকে', 'কেউ', 'তাঁকে', 'বিষয়টি']
['', '', '', '', '', '', '', '', '', '']
['তাঁরা', 'তাঁদের', 'তাঁর', 'সবাই', 'দুজনই', 'যাঁরা', 'চেষ্টা', 'গেছেন', 'করছেন', 'যাচ্ছেন']
['তাঁরা', 'তাঁদের', 'তাঁর', 'জানান', 'কেউ', 'জানতে', 'ওই', 'সবাই', 'গেছেন', 'পেয়ে']
['তাঁরা', 'তাঁদের', 'কেউ', 'সবাই', 'করছেন', 'তাই', 'যাঁরা', 'দুজনই', 'তাঁর', 'এসব']
['তাঁরা', 'তাঁদের', 'জানান', 'জানতে', 'সবাই', 'কেউ', 'এসব', 'বিষয়টি', 'বলেন', 'ওই']
['', '', '', '', '', '', '', '', '', '']
['তাঁরা', 'কেউ', 'তাঁদের', 'জানতে', 'সবাই', 'পারেন', 'যাঁরা', 'অনেকে', 'কোনো', 'গিয়ে']
['অপপ্রচারও', 'তুংয়ের', 'মাদ্রিদও', 'আত্মপরিচয়', 'يَقُولُونَ', 'মাইকোব্যাক্টেরিয়াম', 'قَالَ', 'কিয়ামতে', 'লেপ্রি', 'ভিক্ষাং']
['', '', '', '', '', '', '', '', '', '']
['তুংয়ের', 'অপপ্রচারও', 'কিরূপে', 'মাদ্রিদও', 'ভালোবাসবে', 'অ্যান্ডিকে', 'সুবিধাটা', 'يَقُولُونَ', 'বুঝেছিল', 'তুঙের']
['', '', '', '', '', '', '', '', '', '']
['তুংয়ের', 'বুঝেছিল', 'কোডির', 'বিহতার', 'তুংয়ের', 'অপপ্রচারও', 'মাদ্রিদও', 'সম্মানটা', 'এনজিওটি', 'গুঁড়েবালি']
['তাহার', 'তুংয়ের', 'তুংয়ের', 'আছিল', 'অপপ্রচারও', 'বউয়ের', 'কোডির', 'নাকো', 'জন্মালে', 'রীনাকে']
['যাহা', 'বুঝেছিল', 'তুংয়ের', 'মাদ্রিদও', 'বলেঃ', 'অপপ্রচারও', 'কোডির', 'মধুময়', 'গুঞ্জনই', 'ভোল্গা']
['তাহা', 'তুংয়ের', 'বুঝেছিল', 'মাদ্রিদও', 'তুঙের', 'বলিতে', 'বলেঃ', 'মরেনি', 'রীনাকে', 'ছিলও']
['', '', '', '', '', '', '', '', '', '']
['কেহ', 'ভিক্ষে', 'যেয়ো', 'তুংয়ের', 'পিছুই', 'ছিলও', 'মাদ্রিদও', 'তুঙের', 'অপপ্রচারও', 'বুঝেছিল']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['তাকে', 'ঐ', 'পরবর্তীতে', 'পরবর্তীকালে', 'ফলশ্রুতিতে', 'তাদেরকে', 'করায়', 'সময়ে', 'থাকেন', 'এরফলে']
