['ঘরগুলির', 'ঘরগুলি', 'গোলঘর', 'তুঘরিল', 'ঘরগুলোর', 'ঘুরছিল', 'রঙগুলি', 'গুলির', 'মঠগুলির', 'ঘাটগুলির']
['ফুলগুলো', 'ফুলগুলোর', 'ফুলগুলি', 'স্কুলগুলি', 'পুতুলগুলি', 'স্কুলগুলো', 'স্কুলগুলোর', 'পুতুলগুলো', 'টুলগুলো', 'ভুলগুলোর']
['গ্রন্থিগুলো', 'গ্রন্থগুলোর', 'গ্রন্থগুলো', 'গ্রন্থগুলোতে', 'প্রশ্নগুলো', 'মন্ত্রগুলো', 'স্তোত্রগুলি', 'কেন্দ্রগুলি', 'গ্রুপগুলোর', 'প্রশ্নগুলোর']
['স্কুলগুলোয়', 'স্কুলগুলোর', 'ক্ষেত্রগুলোর', 'ক্ষেত্রগুলো', 'চুক্তিগুলো', 'গ্রুপগুলোকে', 'স্কুলগুলো', 'ত্রুটিগুলো', 'চুক্তিগুলোর', 'গোষ্ঠীগুলি']
['মিডিয়াগুলো', 'মিষ্টিগুলো', 'চিথুলিয়া', 'নিয়মগুলো', 'শিমুলিয়া', 'নিয়ামুল', 'ত্রুটিগুলি', 'কিয়েল্লিনি', 'রেগুলিয়ন', 'অনিয়মগুলো']
['রচনাগুলি', 'রচনাগুলির', 'গুলিচালনার', 'চিকনাগুল', 'দারুচিনি', 'চাকরিগুলি', 'আচারগুলির', 'মিনারগুলি', 'রচনাগুলোর', 'দারুচিনির']
['মিগুয়েল', 'সেতুগুলি', 'আঙ্গুলের', 'সেগুলোর', 'সেগুলোও', 'মেকোগলু', 'রেগুলিয়ন', 'গুল্মের', 'পেশীগুলি', 'মঙ্গোলের']
['দপ্তরগুলোর', 'পাত্রগুলি', 'পর্বতগুলি', 'সূত্রগুলির', 'পর্বতগুলির', 'পর্দাগুলি', 'চিত্রগুলোর', 'গ্রুপগুলির', 'সম্পর্কগুলির', 'শিল্পগুলোর']
['বইগুলি', 'সবগুলিই', 'বলবেই', 'বুবলি', 'বেগলি', 'বেইসবল', 'ইসবগুল', 'বাবুই', 'গবেষকই', 'বেসবলে']
['ফুলগুলো', 'লুৎফুল', 'ফুলগুলি', 'ফুলগুলোর', 'ফুলফুলদে', 'পুতুলগুলি', 'স্কুলগুলি', 'পশুগুলো', 'হনুলুলু', 'লুৎফুল্লা']
['গ্রন্থিগুলো', 'গ্রন্থগুলো', 'প্রশ্নগুলো', 'পূর্বফল্গুনী', 'কেন্দ্রগুলি', 'গ্রন্থগুলোর', 'প্রশ্নগুলোই', 'গ্রন্থগুলোতে', 'বিন্দুগুলো', 'গ্রন্থগুলি']
['স্কুলগুলোয়', 'মুল্লুকে', 'বন্দুকগুলো', 'বস্তুগুলোকে', 'লুৎফুল্লা', 'বস্তুগুলো', 'স্কুলগুলো', 'চুক্তিগুলো', 'বিন্দুগুলো', 'পশুগুলোকে']
['মিডিয়াগুলো', 'শিমুলিয়া', 'নিয়মগুলো', 'মিষ্টিগুলো', 'নিয়ামুল', 'কিয়েল্লিনি', 'চিথুলিয়া', 'রেগুলিয়ন', 'অনিয়মগুলো', 'মিলেনিয়াম']
