['তিনি', 'তনি', 'তিন', 'নতি', 'নিত', 'নিতি', 'তিনশ', 'তিনা', 'তিনই', 'তিল']
['', '', '', '', '', '', '', '', '', '']
['তাকে', 'তারকে', 'রাতকে', 'তারাকে', 'তাপকে', 'পাতকে', 'জাতকে', 'তাহাকে', 'তামাকে', 'তাকী']
['', '', '', '', '', '', '', '', '', '']
['তাঁর', 'তঁার', 'তাঁরা', 'তাঁরও', 'তঁরা', 'তাঁরই', 'তারঁ', 'তাঁক', 'তাঁঁর', 'তাঁত']
['তারা', 'তারঁ', 'তারি', 'তারর', 'তারও', 'তারন', 'তারক', 'তারই', 'রাতা', 'তারব']
['যায', 'যাত', 'যাহা', 'যাবা', 'যাম', 'যারা', 'যার', 'যাল', 'যানা', 'যাও']
['তাং', 'তাহ', 'তাম', 'তার', 'তাপ', 'তাঁ', 'তাজ', 'তাল', 'তান', 'তাস']
['', '', '', '', '', '', '', '', '', '']
['কেচ', 'কেহ', 'কেজ', 'কের', 'কেং', 'কেস', 'কেম', 'কেশ', 'কেপ', 'কুই']
['হাসে', 'সেহের', 'রাহে', 'বাহে', 'হেসের', 'হেসে', 'হারে', 'গাহে', 'কাহে', 'হাঁসে']
['', '', '', '', '', '', '', '', '', '']
['সে', 'হেকে', 'কে', 'হে', 'কেসে', 'বেকে', 'জেকে', 'রেকে', 'হেসে', 'কেকে']
['', '', '', '', '', '', '', '', '', '']
['সে', 'সহে', 'সেহের', 'হাসে', 'হেসে', 'হেসের', 'হে', 'সের', 'বাহে', 'সেরে']
['সে', 'হে', 'হাসে', 'রে', 'সহে', 'রাহে', 'হরে', 'হারে', 'যে', 'বাহে']
['যে', 'সে', 'হে', 'হযে', 'রে', 'সহে', 'য়ে', 'বে', 'যবে', 'ভে']
['সে', 'হে', 'যে', 'সহে', 'রে', 'বে', 'মে', 'হযে', 'কে', 'আহে']
['', '', '', '', '', '', '', '', '', '']
['কে', 'সে', 'হে', 'ফে', 'বে', 'ভে', 'মে', 'পে', 'চে', 'রে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
