['করেছিলাম', 'কারমেল', 'কলামের', 'ইকরামুল', 'কারমেলা', 'কেবলার', 'কলেরার', 'কেলকার', 'করেছিল', 'হেকলার']
['করলাম', 'বছরকাল', 'কমলার', 'করছিলাম', 'করলামঃ', 'করিলাম', 'আলকরা', 'কারমাল', 'বছিলার', 'করলার']
['করব', 'কবর', 'কর', 'বকর', 'করম', 'করর', 'কব', 'করন', 'করচ', 'করও']
['করো', 'করে', 'কোর', 'রোক', 'বরো', 'মরো', 'জরো', 'আরো', 'মকো', 'রকে']
['করেছ', 'করছে', 'ছকের', 'করেও', 'করেছন', 'করছেন', 'কেরচ', 'করছেই', 'করের', 'করেছি']
['করলা', 'করলাম', 'কলার', 'করাল', 'কারল', 'কলাম', 'কমলার', 'কমাল', 'মরাল', 'কলরব']
['কর', 'করি', 'করচ', 'করম', 'করর', 'করও', 'করন', 'করব', 'করা', 'করল']
['করাত', 'করতাম', 'কাতর', 'মরকত', 'তারক', 'তকমার', 'কমার', 'করত', 'কমতা', 'কতবার']
['করছি', 'করছে', 'করছো', 'করিছে', 'করেছি', 'ধরছি', 'করেছ', 'কিছু', 'ছুরি', 'কিরে']
['করছিলে', 'করছিলো', 'করছিলেন', 'করেছিল', 'করেছিলন', 'করেছিলঃ', 'পরেছিল', 'মিছিলের', 'মিছিলকে', 'পারছিলো']
['করব', 'কবর', 'করচ', 'বকর', 'করি', 'করবে', 'করন', 'করত', 'করণ', 'কবরে']
['করো', 'করে', 'কোর', 'কোরে', 'কুরে', 'রকে', 'রোক', 'কনো', 'ধরো', 'কতো']
['করেছে', 'করেছো', 'পরেছে', 'করেছি', 'কষেছে', 'মরেছে', 'ফিরেছে', 'ছেরে', 'করেছ', 'ধরেছি']
['করলে', 'করালে', 'কলারে', 'করালী', 'করিলে', 'করলেন', 'বরকলে', 'কলরবে', 'কলমের', 'কলেরা']
['করি', 'রকি', 'কির', 'করে', 'করচ', 'কনি', 'রিক', 'কচি', 'কশি', 'করো']
['কাতরে', 'করতে', 'করাতে', 'করতলে', 'করিতে', 'করতেন', 'করতেও', 'করাতো', 'করেত', 'করতো']
['করছে', 'করছো', 'করছি', 'করেছ', 'করিছে', 'করেছি', 'সরছে', 'পরছে', 'কিরে', 'কষছে']
['করেছিলে', 'করেছিলো', 'করেছিলেন', 'করেছিল৷', 'মেরেছিল', 'করিতেছে', 'পেরেছিল', 'হেরেছিল', 'বলেছিলে', 'ধরেছিলেন']
['করব', 'করে', 'করবে', 'কবর', 'কবরে', 'করচ', 'রবে', 'বকর', 'বরে', 'করবী']
['করো', 'করে', 'কোরে', 'কুরে', 'রকে', 'কোর', 'ধরো', 'ক্রো', 'রো', 'কোরো']
['করেছে', 'করেছো', 'পরেছে', 'কষেছে', 'ছেরে', 'ধরেছে', 'মরেছে', 'ভরেছে', 'ঝরেছে', 'কেরে']
['করলে', 'করালে', 'কলারে', 'করিলে', 'বরকলে', 'করলেন', 'করলো', 'কলরবে', 'করলেও', 'করালী']
['করি', 'করে', 'রকি', 'করো', 'রকে', 'কির', 'কিরে', 'করচ', 'কররে', 'রুক']
['করতে', 'করাতে', 'কাতরে', 'করতলে', 'করিতে', 'করতেন', 'করেত', 'করতেও', 'করতো', 'রাতকে']
['করিছে', 'করেছি', 'করছিলে', 'পরেছি', 'করছে', 'কিনছে', 'ফিরছে', 'করতেছি', 'করছেন', 'বছরকে']
['পেয়েছিলাম', 'চেয়েছিলাম', 'পেরেছিলাম', 'ডেকেছিলাম', 'হেরেছিলাম', 'খেয়েছিলাম', 'মেরেছিলেন', 'কামিয়েছিলেন', 'ফেলেছিলাম', 'পেরেছিলেন']
['করেছিলাম', 'পেরেছিলাম', 'বলেছিলাম', 'ধরেছিলাম', 'ফিরেছিলাম', 'মারছিলেন', 'হেরেছিলাম', 'কিনেছিলাম', 'পারছিলেন', 'বসেছিলাম']
['কোরে', 'মেরো', 'সেরো', 'মোরে', 'পেরো', 'ক্রো', 'কোরো', 'ফেরো', 'তেরো', 'রেমো']
['করেছে', 'ফিরেছে', 'করতেছে', 'পেরেছি', 'করিয়েছে', 'সেরেছে', 'মেরেছি', 'পেরেছে', 'মেরেছে', 'করিতেছে']
['কালামের', 'মরালকে', 'কলামের', 'কামালের', 'কারমেল', 'বালামের', 'কারমেলা', 'পরকালে', 'মিলারকে', 'করালে']
['কিরে', 'রিকে', 'করিবে', 'কেরি', 'করনে', 'মিরে', 'কররে', 'রিমে', 'পিরে', 'করবে']
['কামাতে', 'কাতারে', 'কারাতে', 'কমাতে', 'করাতে', 'কাতরে', 'করাতেন', 'কেরামত', 'ইমারতে', 'কাতরাতে']
['করছিস', 'সিকরি', 'সিরিক', 'করছিল', 'পরিসর', 'করিস', 'কছিরন', 'সিরিজ', 'সরিকল', 'আসিরি']
['এমিরিটাস', 'সলিডারিটি', 'সিরামিকস', 'ফিরছিলাম', 'দিছিলাম', 'লাইসিনিডি', 'সলিডারিটির', 'মাদারিসিল', 'অরিজিনালস', 'করছিলাম']
['সিরিলিক', 'করছিলাম', 'সিপিলার', 'সলিসিটার', 'এমিরিটাস', 'মিছিলসহ', 'সিরামিকস', 'হিসারলিক', 'করিওলিস', 'কিজিলবাস']
['করিব', 'বরিস', 'করিস', 'করপস', 'বিরস', 'করবি', 'রকিব', 'বসরি', 'রসবি', 'বসির']
['করছিস', 'আরসিডি', 'চাকিরিস', 'রিছিল', 'করছিল', 'আরডিসি', 'কছিরন', 'সিকরি', 'এসিডিক', 'মিছরি']
