['মারপিট', 'চাপে', 'পারফরম', 'এ্যা', 'খ্যাতি', 'মিলবে', 'ব্যাটালিয়নের', 'সমালোচিত', 'দাঁড়াচ্ছে', 'তাকালেই']
['১৯৬৫', 'শুনানিতে', 'কন্ঠ', 'জোস', 'ডিজিট', '১৯৩৬', 'পেনশন', 'চৈতন্য', 'নেমে', 'উদ্ধৃতি']
['দেখতো', 'জিনিসের', 'মেলা', 'মোল্লার', 'প্রতিমা', 'এয়ারপোর্ট', 'মসজিদ', 'ইলেকট্রনিক', 'উৎপাদনে', 'খুললেন']
['প্রতিমা', 'সাবান', 'মেলা', 'আজব', 'মোজা', 'জিনিসের', 'ফর', 'অনুপ্রাণিত', 'কবরের', 'মুছতে']
['রাঁ', 'মাশুল', 'ঝুলে', 'এমনিতে', 'ওয়াশিংটনে', 'পেইজ', 'আমাকেই', 'প্রকৌশলী', 'লেখাপড়া', 'ক্ষতিগ্রস্ত']
['শেখাতে', 'করুণা', 'বিশ্বাসকে', 'م', 'লাগল', 'জাতীয়তাবাদের', 'বড়ুয়া', 'সতীশ', 'বিশ্বাসই', 'বিধায়ক']
['অঙ্কিতা', 'কর্মকর্তারা', 'রাম', 'পেনশন', 'চাপে', 'ব্যাটালিয়নের', 'মিলবে', 'শুনানিতে', 'মধ্য', 'মধ\u200d্য']
['শেখাতে', 'প্রশংসা', 'আই', 'তুলি', 'লাগল', 'কুসংস্কার', 'বিধায়ক', 'বিশ্বাসই', 'م', 'প্লেয়ার']
['পেয়েছ', 'করেছিলে', 'শুনলাম', 'ইনস্টিটিউট', 'করছি', 'দিতেন', 'অধিবাসীদের', 'ইহুদী', 'অফিসের', 'উঠছেন']
['করছিলাম', 'গল্পগুলো', 'থান', 'বন্দুক', 'রিভ', 'ব্যাপারে', 'পরিস্থিতিতে', 'দেখতো', 'নগরী', 'অন্যদিকে']
['করব', 'চোখে', 'নতুনভাবে', 'ক্রিকে', 'বাড়িতে', 'কেন্দ্রে', 'গায়িকা', 'নূরে', 'মর্যাদা', 'শাড়িতে']
['করো', 'হাতে', 'বিশ্বের', 'প্রমিস', '১১৫', 'মুরগীর', 'অনুষ্ঠিত', 'রিপোর্ট', 'নাজ', 'রাখলেন']
['করেছি', 'ক\u200cরে\u200cছি', 'সঙ্গেই', 'ইনস্টিটিউটে', 'মাস্টার্স', 'পৌরসভা', 'করিনি', 'করলি', 'পারছেন', 'করেছিস']
['হার', 'উঠছেন', 'শুনলাম', 'পেয়েছ', 'অধিবাসীদের', 'দিতেন', 'করলেন', 'কমনওয়েলথ', 'রগ', 'পরেছে']
['করেছিলে', 'ইনস্টিটিউট', 'ভাঙ্গে', 'পেয়েছ', 'হয়েছিলেন', 'করি', 'ক\u200cরি', 'পারিনা', 'করেন', 'ক\u200cরেন']
['দিতেন', 'করেছিলে', 'করতাম', 'পেয়েছ', 'বছরেই', 'উঠছেন', 'দিয়েছিলেন', 'শিখবে', 'আরেকটি', 'অধিবাসীদের']
